Train_ID,Train_Type,Arrival_Time_Min,Departure_Time_Min,Halt_Duration_Min,Platform_Assigned,Track_Number,Peak_Hour,Weather,Previous_Delay_Min,Delay_Minutes
T001,Express,860,867,7,5,1,0,Clear,18,13
T002,Express,769,777,8,2,1,0,Rain,57,40
T003,Express,1082,1088,6,4,3,1,Clear,46,30
T004,Passenger,646,660,14,1,3,0,Clear,24,11
T005,Express,1369,1378,9,2,3,0,Rain,43,32
T006,Express,1413,1423,10,2,2,0,Clear,17,4
T007,Passenger,201,214,13,4,1,0,Fog,20,22
T008,Passenger,492,510,18,5,3,1,Clear,24,23
T009,Passenger,1152,1169,17,3,3,1,Rain,34,31
T010,Passenger,1051,1067,16,1,2,1,Clear,54,38
T011,Passenger,804,816,12,4,2,0,Fog,0,9
T012,Express,794,799,5,2,2,0,Clear,50,27
T013,Passenger,1020,1033,13,5,3,1,Rain,14,22
T014,Passenger,577,596,19,5,2,1,Rain,5,20
T015,Freight,1354,1380,26,1,1,0,Clear,56,23
T016,Express,1434,1439,5,5,1,0,Clear,43,18
T017,Freight,1397,1425,28,4,1,0,Clear,57,30
T018,Passenger,951,961,10,3,1,0,Fog,27,25
T019,Express,1248,1253,5,3,2,1,Clear,43,38
T020,Express,766,776,10,5,2,0,Rain,10,12
T021,Express,1349,1358,9,3,3,0,Clear,25,10
T022,Express,488,493,5,2,1,1,Rain,56,42
T023,Freight,1321,1343,22,4,2,0,Fog,51,38
T024,Express,1256,1263,7,3,3,1,Fog,53,48
T025,Passenger,586,596,10,4,2,1,Rain,34,40
T026,Passenger,956,974,18,4,1,0,Clear,13,2
T027,Express,1415,1422,7,1,1,0,Clear,58,25
T028,Passenger,229,241,12,3,3,0,Rain,29,21
T029,Express,815,822,7,4,3,0,Rain,16,16
T030,Freight,1372,1408,36,5,3,0,Fog,32,30
T031,Express,1184,1191,7,2,1,1,Clear,53,42
T032,Express,154,160,6,2,2,0,Rain,32,17
T033,Passenger,1062,1081,19,2,3,1,Clear,23,23
T034,Freight,1166,1187,21,2,3,1,Rain,50,43
T035,Passenger,1148,1163,15,2,2,1,Clear,51,38
T036,Express,992,1001,9,4,1,0,Clear,5,5
T037,Passenger,866,882,16,4,1,0,Fog,41,28
T038,Passenger,1369,1383,14,2,1,0,Clear,8,0
T039,Express,633,638,5,2,2,0,Clear,24,12
T040,Passenger,703,717,14,5,3,0,Clear,25,14
T041,Passenger,696,710,14,1,2,0,Fog,51,41
T042,Express,1277,1287,10,5,3,0,Clear,53,28
T043,Freight,1203,1232,29,2,3,1,Clear,0,9
T044,Express,257,262,5,4,3,0,Rain,11,12
T045,Passenger,956,968,12,3,1,0,Rain,0,3
T046,Express,969,975,6,2,3,0,Clear,3,2
T047,Passenger,1098,1115,17,4,1,1,Rain,56,55
T048,Passenger,1122,1135,13,2,1,1,Rain,23,24
T049,Express,278,283,5,3,1,0,Clear,48,22
T050,Freight,176,199,23,4,1,0,Fog,11,26
T051,Freight,734,773,39,3,2,0,Rain,52,38
T052,Express,1174,1179,5,5,1,1,Clear,38,39
T053,Passenger,1238,1258,20,3,2,1,Fog,8,34
T054,Express,1191,1197,6,1,2,1,Fog,1,24
T055,Express,1388,1393,5,4,1,0,Fog,24,22
T056,Passenger,1205,1221,16,3,2,1,Fog,38,36
T057,Passenger,1081,1094,13,4,1,1,Rain,38,32
T058,Express,1392,1397,5,1,2,0,Clear,57,28
T059,Express,1236,1243,7,4,1,1,Clear,18,14
T060,Freight,1282,1317,35,1,3,0,Clear,31,12
T061,Express,1431,1439,8,5,2,0,Clear,25,15
T062,Express,40,48,8,3,2,0,Clear,8,0
T063,Passenger,460,472,12,5,2,1,Fog,4,22
T064,Passenger,373,383,10,2,3,0,Clear,20,10
T065,Express,826,833,7,1,1,0,Clear,40,20
T066,Passenger,770,784,14,5,1,0,Fog,9,15
T067,Express,456,466,10,1,3,1,Clear,3,9
T068,Express,1095,1101,6,2,2,1,Clear,2,20
T069,Express,1077,1085,8,5,2,1,Fog,56,50
T070,Passenger,434,450,16,4,2,1,Clear,33,26
T071,Express,858,865,7,2,1,0,Clear,23,17
T072,Passenger,137,154,17,1,2,0,Rain,19,19
T073,Passenger,204,224,20,3,3,0,Clear,56,29
T074,Express,280,287,7,3,3,0,Rain,49,30
T075,Express,1028,1034,6,4,2,1,Clear,20,19
T076,Express,545,550,5,2,1,1,Clear,25,22
T077,Passenger,213,230,17,3,3,0,Clear,16,8
T078,Passenger,55,70,15,2,3,0,Clear,1,0
T079,Express,1335,1342,7,3,3,0,Rain,42,33
T080,Express,484,492,8,2,3,1,Clear,38,21
T081,Express,811,816,5,1,1,0,Clear,3,1
T082,Express,110,120,10,2,3,0,Rain,48,36
T083,Express,612,622,10,4,2,0,Rain,58,31
T084,Express,623,631,8,3,2,0,Clear,30,16
T085,Freight,758,780,22,3,3,0,Clear,35,16
T086,Freight,3,37,34,1,2,0,Clear,50,22
T087,Passenger,714,731,17,2,3,0,Rain,4,9
T088,Passenger,112,122,10,2,2,0,Clear,36,12
T089,Freight,844,874,30,3,1,0,Clear,55,33
T090,Express,1191,1197,6,4,1,1,Clear,8,14
T091,Express,910,920,10,3,2,0,Clear,4,3
T092,Freight,587,609,22,3,1,1,Rain,21,28
T093,Freight,1252,1285,33,4,2,1,Rain,36,34
T094,Express,1065,1070,5,2,3,1,Rain,31,38
T095,Passenger,574,584,10,1,1,1,Fog,54,47
T096,Express,578,585,7,2,3,1,Fog,32,42
T097,Passenger,156,171,15,1,1,0,Rain,26,22
T098,Freight,864,889,25,5,3,0,Clear,44,23
T099,Passenger,14,31,17,5,1,0,Clear,11,5
T100,Passenger,793,813,20,3,1,0,Rain,9,14
T101,Passenger,814,833,19,3,2,0,Clear,17,11
T102,Passenger,1003,1016,13,4,1,0,Fog,7,19
T103,Passenger,1401,1419,18,3,1,0,Clear,40,18
T104,Express,982,987,5,1,3,0,Clear,50,23
T105,Passenger,968,982,14,1,2,0,Rain,52,31
T106,Freight,385,411,26,2,3,0,Rain,16,12
T107,Passenger,1202,1217,15,1,3,1,Clear,52,41
T108,Express,665,673,8,2,1,0,Clear,16,5
T109,Passenger,147,162,15,4,3,0,Fog,48,37
T110,Passenger,951,963,12,5,1,0,Clear,29,9
T111,Passenger,768,780,12,2,2,0,Clear,48,28
T112,Express,1287,1296,9,3,2,0,Clear,45,22
T113,Passenger,86,102,16,4,2,0,Fog,7,11
T114,Passenger,327,342,15,1,3,0,Clear,50,22
T115,Passenger,1287,1298,11,3,2,0,Rain,45,24
T116,Express,329,334,5,5,3,0,Clear,18,6
T117,Passenger,81,92,11,1,3,0,Rain,10,10
T118,Freight,804,829,25,1,2,0,Fog,34,29
T119,Passenger,1303,1313,10,2,2,0,Clear,45,21
T120,Express,525,530,5,2,1,1,Clear,8,18
T121,Passenger,493,506,13,2,2,1,Fog,33,42
T122,Express,1040,1049,9,1,2,1,Rain,22,31
T123,Express,26,31,5,3,2,0,Rain,56,40
T124,Passenger,701,720,19,2,2,0,Rain,50,34
T125,Passenger,28,42,14,3,3,0,Clear,48,25
T126,Passenger,622,639,17,5,1,0,Clear,46,17
T127,Express,1267,1274,7,1,2,0,Fog,42,30
T128,Express,1040,1045,5,1,1,1,Rain,41,37
T129,Express,1252,1260,8,4,3,1,Clear,33,26
T130,Freight,1040,1069,29,1,3,1,Clear,11,15
T131,Passenger,660,670,10,5,2,0,Rain,7,3
T132,Freight,46,75,29,1,3,0,Clear,21,10
T133,Express,334,343,9,1,3,0,Fog,49,46
T134,Express,994,1000,6,3,2,0,Rain,13,15
T135,Freight,1194,1221,27,2,3,1,Clear,38,35
T136,Express,721,726,5,5,2,0,Fog,1,17
T137,Freight,413,445,32,5,2,0,Fog,34,44
T138,Express,376,382,6,1,3,0,Clear,4,0
T139,Express,2,11,9,2,2,0,Clear,24,11
T140,Express,186,192,6,5,1,0,Clear,59,26
T141,Freight,1342,1375,33,3,2,0,Rain,24,23
T142,Passenger,1353,1373,20,2,1,0,Clear,48,28
T143,Passenger,53,69,16,1,1,0,Fog,57,42
T144,Passenger,215,227,12,3,2,0,Rain,60,33
T145,Freight,1380,1401,21,3,1,0,Clear,58,28
T146,Freight,1418,1439,21,4,3,0,Clear,58,28
T147,Express,913,923,10,5,1,0,Fog,12,5
T148,Passenger,697,709,12,2,3,0,Fog,32,28
T149,Passenger,1191,1201,10,3,3,1,Clear,12,21
T150,Express,132,139,7,5,2,0,Clear,30,13
T151,Express,671,678,7,5,2,0,Fog,17,21
T152,Express,1247,1256,9,3,1,1,Clear,39,29
T153,Passenger,855,867,12,3,2,0,Clear,40,23
T154,Freight,988,1011,23,4,2,0,Fog,16,18
T155,Passenger,704,719,15,2,3,0,Fog,13,20
T156,Express,906,911,5,3,3,0,Rain,25,16
T157,Freight,1122,1154,32,1,3,1,Clear,28,32
T158,Express,848,858,10,4,1,0,Fog,15,25
T159,Freight,1410,1430,20,2,2,0,Clear,60,30
T160,Express,1294,1302,8,3,2,0,Clear,28,13
T161,Express,1050,1060,10,2,3,1,Rain,43,43
T162,Passenger,1176,1192,16,1,2,1,Rain,35,34
T163,Express,955,965,10,5,1,0,Clear,7,9
T164,Express,606,616,10,3,1,0,Rain,59,38
T165,Express,213,220,7,1,1,0,Clear,45,27
T166,Passenger,241,251,10,2,1,0,Clear,12,8
T167,Freight,917,943,26,2,2,0,Clear,45,20
T168,Express,1328,1335,7,5,3,0,Fog,8,20
T169,Express,1439,1440,5,2,2,0,Rain,19,25
T170,Passenger,1413,1432,19,2,3,0,Rain,40,27
T171,Passenger,977,992,15,4,3,0,Rain,24,17
T172,Passenger,694,706,12,4,2,0,Clear,18,7
T173,Express,311,316,5,3,3,0,Clear,50,23
T174,Express,902,910,8,1,2,0,Fog,57,41
T175,Passenger,731,744,13,4,2,0,Fog,31,33
T176,Passenger,334,345,11,4,2,0,Rain,50,30
T177,Freight,1291,1313,22,5,2,0,Rain,14,10
T178,Passenger,1321,1332,11,5,1,0,Clear,40,24
T179,Freight,13,39,26,1,2,0,Clear,16,5
